name,type,lat,lon,formatted_address,website,opening_hours
SPoT Coffee,cafe,42.9176969,-78.8768575,n/a,https://www.spotcoffee.com/,Mo-Su 07:00-20:00
Everything Goes Book Cafe,cafe,40.6369340,-74.0766560,n/a,n/a,n/a
Talay Thai Restaurant,restaurant,40.6424804,-74.0766747,n/a,https://talay.restaurant,11:00-09:30
Boutros,restaurant,40.6901687,-73.9934852,n/a,https://boutrosbk.com,"Mo-Th 17:30-23:30; Fr 17:30-01:00; Sa 11:00-15:30,17:30-01:00; Su 11:00-15:30,17:00-23:30"
Bubo,restaurant,40.7460357,-73.9776594,n/a,n/a,Mo-Th 16:00-02:00; Fr-Sa 16:00-04:00; Su 16:00-02:00
Little Alley,restaurant,40.7473845,-73.9771526,n/a,https://www.littlealley.nyc,"Mo-Th 11:30-15:00,17:00-22:00; Fr-Sa 11:30-15:00,17:00-22:30; Su 11:30-15:00,17:00-22:00"
La Fondita,cafe,40.6647223,-73.9895351,n/a,n/a,Mo-Su 15:00-23:00
Mocha Hookah,cafe,40.6901914,-73.9935675,n/a,n/a,Mo-Su 09:00-07:00
Mikado,restaurant,40.6902604,-73.9938187,n/a,http://www.newmikadonyc.com/,"Mo-Th 10:30-15:30,17:00-22:00; Fr 10:30-23:00; Sa 12:00-23:00; Su 12:00-22:00"
The Musket Room,restaurant,40.7239188,-73.9937813,n/a,https://www.musketroom.com,Tu-Sa 17:00-23:00
Craft + Carry,bar,40.7435659,-73.9799283,n/a,n/a,n/a
Nha Trang One,restaurant,40.7167899,-73.9996711,n/a,http://nhatrangnyc.com,Mo-Su 10:30-22:00
Perk Kafe,cafe,40.7477067,-73.9772631,n/a,n/a,n/a
Lenox Coffee,cafe,40.8100110,-73.9431823,n/a,n/a,n/a
Winemak'her,bar,40.6676735,-73.9877552,n/a,https://winemakher-bar.com,"Tu-We 15:00-23:00, Th 14:00-23:00, Fr 14:00-24:00+, Sa 12:00-24:00+, Su 12:00-22:00"
McDonald's,fast_food,42.7435925,-73.9184199,n/a,n/a,n/a
Roy Rogers,fast_food,42.8968645,-74.0971478,n/a,n/a,n/a
McDonald's,fast_food,42.9147009,-74.1624996,n/a,n/a,n/a
Burger King,fast_food,43.1250552,-75.4146353,n/a,https://www.bk.com/store-locator/store/restaurant_4216,24/7
Roam Cafe,restaurant,43.1504903,-77.5892055,n/a,https://www.roamcafe.com/,Mo-Sa 11:30-24:00; Su 10:30-22:00
Nanuet Diner,restaurant,41.0987185,-74.0162547,n/a,n/a,n/a
Starbucks,cafe,42.7269142,-73.7949162,n/a,https://www.starbucks.com/store-locator/store/18338/albany-shaker-rd-and-wolf-rd-243-wolf-rd-albany-ny-122051114-us,n/a
Moe's Southwest Grill,fast_food,42.7267376,-73.7951946,n/a,n/a,n/a
McDonald's,fast_food,43.0308196,-77.9065847,n/a,n/a,24/7
Arby's,fast_food,43.0409162,-77.7152627,n/a,https://www.arbys.com/locations/us/ny/west-henrietta/20-erie-station-rd/store-7921/,24/7
Dragon Buffet,restaurant,42.7344918,-73.8515892,n/a,n/a,n/a
Zum Stammtisch,restaurant,40.7018175,-73.8811268,n/a,https://zumstammtisch.com/,n/a
Crabapples,bar,42.9256346,-78.7632424,n/a,n/a,n/a
O'Donoghue's Tavern,restaurant,41.0909754,-73.9177424,n/a,n/a,n/a
Runcible Spoon,cafe,41.0920561,-73.9177871,n/a,n/a,n/a
Perri's Pizza,fast_food,43.1650518,-77.6681258,n/a,https://www.perrispizza.com/home.aspx,n/a
McDonald's,fast_food,40.8233844,-73.8747040,n/a,https://www.mcdonalds.com/us/en-us/location/4234.html,Mo-Th 06:00-23:00; Fr-Sa 06:00-24:00; Su 06:00-23:00
McDonald's,fast_food,40.8262918,-73.8616069,n/a,https://www.mcdonalds.com/us/en-us/location/2686.html,24/7
Washington Commons,bar,40.6754425,-73.9634777,n/a,n/a,n/a
Barcade,bar,40.7120257,-73.9511170,n/a,https://barcadebrooklyn.com,Mo-Th 16:00-04:00; Fr 14:00-04:00; Sa-Su 12:00-04:00
Paradiso Pizza,restaurant,43.0913181,-77.6559175,n/a,n/a,n/a
Lovin Cup,cafe,43.0918775,-77.6569021,n/a,https://lovincup.com/,n/a
Abbot's Custard,restaurant,43.0920691,-77.6564579,n/a,n/a,n/a
Lake Pavilion,restaurant,40.7426161,-73.8248756,n/a,n/a,n/a
Happy Garden Restaurant,restaurant,40.7430063,-73.8257940,n/a,n/a,n/a
Dunkin',fast_food,40.7394621,-73.8153742,n/a,https://locations.dunkindonuts.com/en/ny/flushing/15367-horace-harding-expy/304011,24/7
Sabad's Restaurant,restaurant,44.8021066,-74.9977295,n/a,n/a,n/a
Mugs Ale House,restaurant,40.7194991,-73.9557619,n/a,n/a,n/a
